Alabama,Yellowhammer,Camellia,Cotton State,Montgomery
Alaska,Willow ptarmigan,Forget-me-not,The Last Frontier,Juneau
Arizona,Cactus wren,Saguaro cactus,Grand Canyon State,Phoenix
Arkansas,Mockingbird,Apple blossom,Land of Opportunity,Little Rock
California,Valley quail,Golden poppy,Golden State,Sacramento
Colorado,Lark bunting,Columbine,Centennial State,Denver
Connecticut,American robin,Mountain laurel,Constitution State,Hartford
Delaware,Blue hen chicken,Peach blossom,Diamond State,Dover
Florida,Mockingbird,Orange blossom,Sunshine State,Tallahassee
Georgia,Brown thrasher,Cherokee rose,Peach State,Atlanta
Hawaii,Hawaiian goose,Hibiscus,Aloha State,Honolulu
Idaho,Mountain bluebird,Syringa,Gem State,Boise
Illinois,Cardinal,Butterfly violet,Prairie State,Springfield
Indiana,Cardinal,Peony,Hoosier State,Indianapolis
Iowa,Eastern goldfinch,Carolina wild rose,Hawkeye State,Des Moines
Kansas,Western meadowlark,Sunflower,Sunflower State,Topeka
Kentucky,Cardinal,Goldenrod,Bluegrass State,Frankfort
Louisiana,Pelican,Magnolia,Pelican State,Baton Rouge
Maine,Chickadee,Pine cone and tassel,Pine Tree State,Augusta
Maryland,Baltimore oriole,Black-eyed Susan,Old Line State,Annapolis
Massachusetts,Chickadee,Mayflower,Bay State,Boston
Michigan,Robin,Apple blossom,Wolverine State,Lansing
Minnesota,Loon,Pink and white lady's slipper,Gopher State,Saint Paul
Mississippi,Mockingbird,Magnolia,Magnolia State,Jackson
Missouri,Bluebird,Hawthorn,Show Me State,Jefferson City
Montana,Western meadowlark,Bitterroot,Treasure State,Helena
Nebraska,Western meadowlark,Goldenrod,Cornhusker State,Lincoln
Nevada,Mountain bluebird,Sagebrush,Silver State,Carson City
New Hampshire,Purple finch,Purple lilac,Granite State,Concord
New Jersey,Eastern goldfinch,Purple violet,Garden State,Trenton
New Mexico,Roadrunner,Yucca,Land of Enchantment,Santa Fe
New York,Eastern bluebird,Rose,Empire State,Albany
North Carolina,Cardinal,Dogwood,Tar Heel State,Raleigh
North Dakota,Western meadowlark,Prairie rose,Flickertail State,Bismark
Ohio,Cardinal,Scarlet carnation,Buckeye State,Columbus
Oklahoma,Scissor-tailed flycatcher,Mistletoe,Sooner State,Oklahoma City
Oregon,Western meadowlark,Oregon grape,Beaver State,Salem
Pennsylvania,Ruffed grouse,Mountain laurel,Keystone State,Harrisburg
Rhode Island,Rhode Island red,Violet,Little Rhody,Providence
South Carolina,Carolina wren,Carolina jessamine,Palmetto State,Columbia
South Dakota,Ring-necked pheasant,Pasque flower,Coyote State,Pierre
Tennessee,Mockingbird,Iris,Volunteer State,Nashville
Texas,Mockingbird,Bluebonnet,Lone Star State,Austin
Utah,Sea gull,Sego lily,Beehive State,Salt Lake City
Vermont,Hermit thrush,Red clover,Green Mountain State,Montpelier
Virginia,Cardinal,American dogwood,Old Dominion,Richmond
Washington,Willow goldfinch,Rhododendron,Evergreen State,Olympia
West Virginia,Cardinal,Rosebay rhododendron,Mountain State,Charleston
Wisconsin,Robin,Butterfly violet,Badger State,Madison
Wyoming,Western meadowlark,Indian paintbrush,Equality State,Cheyenne